storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL092015,GNO+DynGNN,7,4230.2,4514.7,3338.9,4802.7
AL102015,LSTM,39,4326.4,4076.6,4465.7,3765.0
AL102015,Transformer,39,5595.5,5166.3,5803.5,5679.7
AL102015,GNO+DynGNN,39,4142.6,4361.1,3278.5,4729.9
AL112015,LSTM,64,6406.8,6189.3,5662.5,5390.2
AL112015,Transformer,64,6797.1,6638.3,7506.0,6716.6
AL112015,GNO+DynGNN,64,6293.3,5908.1,5321.8,6315.5
AL122015,LSTM,8,7516.7,7055.8,6452.9,5466.6
AL122015,Transformer,8,8322.6,7864.6,8288.2,7060.5
AL122015,GNO+DynGNN,8,7273.8,6959.0,5717.4,6502.0
AL012016,LSTM,30,5186.6,4907.7,4423.6,4208.9
AL012016,Transformer,30,5794.0,5486.3,6332.1,5698.4
AL012016,GNO+DynGNN,30,5049.2,4687.7,3908.1,5272.4
AL022016,LSTM,44,7377.1,7052.1,6725.2,5857.4
AL022016,Transformer,44,8146.1,7823.9,8486.6,7622.1
AL022016,GNO+DynGNN,44,7147.3,6927.1,5849.6,6905.1
AL032016,LSTM,3,8785.8,8353.5,7933.7,6241.7
AL032016,Transformer,3,9716.6,9309.0,9588.9,7899.9
AL032016,GNO+DynGNN,3,8511.7,8354.8,6954.7,7285.9
AL052016,LSTM,8,9059.5,8773.5,9430.1,8856.4
AL052016,Transformer,8,10342.7,10019.7,10511.3,10818.6
AL052016,GNO+DynGNN,8,8787.4,9075.7,8097.9,9557.4
AL062016,LSTM,19,4855.2,4674.7,5185.2,4886.9
AL062016,Transformer,19,6067.1,5745.7,6567.7,6807.9
AL062016,GNO+DynGNN,19,4665.2,4933.2,4035.7,5821.8
AL072016,LSTM,41,5103.0,4883.1,4970.0,4572.2
AL072016,Transformer,41,6027.9,5754.4,6591.1,6282.1
AL072016,GNO+DynGNN,41,4932.4,4938.4,4114.6,5525.9
AL082016,LSTM,9,7650.2,7460.6,7499.7,6982.4
AL082016,Transformer,9,8478.9,8298.9,9201.8,8811.4
AL082016,GNO+DynGNN,9,7418.4,7406.6,6558.1,7998.5
AL092016,LSTM,35,8346.5,8027.9,7930.9,7233.8
AL092016,Transformer,35,9162.2,8897.8,9582.5,9037.4
AL092016,GNO+DynGNN,35,8090.7,7966.4,6979.4,8175.2
AL102016,LSTM,9,5802.8,5618.4,5515.9,5336.3
AL102016,Transformer,9,6656.0,6402.5,7338.6,6787.7
AL102016,GNO+DynGNN,9,5619.4,5586.8,4810.2,6439.4
AL112016,LSTM,21,8136.1,7833.0,7803.0,7161.8
AL112016,Transformer,21,9005.6,8729.8,9429.8,9029.8
AL112016,GNO+DynGNN,21,7879.8,7798.6,6781.4,8130.9
AL122016,LSTM,42,4770.7,4596.0,4962.8,4467.5
AL122016,Transformer,42,5917.8,5594.6,6402.8,6338.3
AL122016,GNO+DynGNN,42,4598.6,4785.7,3871.9,5441.5
AL132016,LSTM,18,3661.1,3506.0,3691.4,3404.2
AL132016,Transformer,18,4725.4,4379.2,5302.1,5186.6
AL132016,GNO+DynGNN,18,3525.9,3610.1,2785.1,4486.6
AL142016,LSTM,38,7749.9,7404.4,7860.0,7055.5
AL142016,Transformer,38,8929.5,8575.2,8988.1,8937.4
AL142016,GNO+DynGNN,38,7483.3,7674.4,6652.2,7673.4
AL152016,LSTM,51,6667.8,6373.4,6290.0,5794.9
AL152016,Transformer,51,7479.6,7207.7,7936.9,7493.1
AL152016,GNO+DynGNN,51,6461.1,6337.8,5441.0,6710.9
AL162016,LSTM,26,8261.3,7866.0,8566.9,7585.6
AL162016,Transformer,26,9760.5,9248.7,9376.3,9562.0
AL162016,GNO+DynGNN,26,8014.0,8334.0,7071.2,8219.9
AL012017,LSTM,15,5160.2,5034.3,4745.5,4665.8
AL012017,Transformer,15,5720.1,5554.6,6698.2,6274.5
AL012017,GNO+DynGNN,15,5035.9,4788.0,4210.5,5755.9
AL032017,LSTM,8,9576.5,9290.2,9389.6,8415.9
AL032017,Transformer,8,10500.4,10264.0,10937.8,10242.3
AL032017,GNO+DynGNN,8,9292.5,9298.9,8336.9,9347.1
AL072017,LSTM,6,9127.8,8853.2,9438.7,8955.8
AL072017,Transformer,6,10357.4,10051.4,10619.5,10919.6
AL072017,GNO+DynGNN,6,8863.4,9100.9,8138.5,9723.5
AL082017,LSTM,16,7488.7,7158.6,6915.1,6137.3
AL082017,Transformer,16,8314.7,8005.8,8647.0,7764.0
AL082017,GNO+DynGNN,16,7252.4,7103.5,6080.0,7133.8
AL092017,LSTM,62,8775.1,8493.6,8874.9,8229.7
AL092017,Transformer,62,9901.2,9605.2,10181.0,10143.9
AL092017,GNO+DynGNN,62,8510.3,8665.1,7664.4,9067.1
AL112017,LSTM,54,6382.5,6116.6,6666.2,6232.4
AL112017,Transformer,54,7512.6,7226.7,7853.8,8110.8
AL112017,GNO+DynGNN,54,6154.2,6370.1,5511.1,6855.3
AL122017,LSTM,73,6796.7,6528.8,6754.5,6243.9
AL122017,Transformer,73,7764.7,7499.6,8214.5,8080.3
AL122017,GNO+DynGNN,73,6565.7,6625.0,5721.2,7068.5
AL132017,LSTM,6,9784.5,9409.1,9786.9,9078.0
AL132017,Transformer,6,10911.8,10569.3,11006.2,11037.8
AL132017,GNO+DynGNN,6,9487.4,9572.4,8516.3,9814.9
AL142017,LSTM,51,4985.5,4777.5,4963.1,4516.9
AL142017,Transformer,51,6000.1,5699.3,6519.6,6318.9
AL142017,GNO+DynGNN,51,4812.2,4884.0,3992.2,5500.5
AL152017,LSTM,56,7083.9,6760.3,6873.1,6211.3
AL152017,Transformer,56,8039.6,7726.8,8308.8,7944.6
AL152017,GNO+DynGNN,56,6845.4,6848.4,5889.0,6988.5
AL162017,LSTM,20,8853.6,8524.2,8648.8,7699.4
AL162017,Transformer,20,9961.3,9595.5,10082.8,9491.2
AL162017,GNO+DynGNN,20,8594.9,8661.1,7556.6,8631.6
AL172017,LSTM,35,4630.3,4532.5,4000.1,4292.9
AL172017,Transformer,35,4980.1,4878.5,6061.2,5509.8
AL172017,GNO+DynGNN,35,4578.2,4169.9,3817.0,5375.1
AL192017,LSTM,9,5613.1,5399.5,5241.6,5156.5
AL192017,Transformer,9,6416.0,6132.1,7082.8,6768.7
AL192017,GNO+DynGNN,9,5440.1,5309.7,4512.1,6275.9
AL012018,LSTM,14,8887.1,8603.2,8700.8,8134.2
AL012018,Transformer,14,9825.4,9555.9,10278.2,9940.7
AL012018,GNO+DynGNN,14,8619.5,8614.0,7674.9,9090.9
AL022018,LSTM,40,6504.1,6259.2,6619.7,6041.2
AL022018,Transformer,40,7673.2,7333.1,8001.0,7909.5
AL022018,GNO+DynGNN,40,6277.1,6475.5,5474.7,6960.4
AL032018,LSTM,38,7352.4,7161.3,6606.2,6494.6
AL032018,Transformer,38,7692.3,7590.3,8592.6,7807.6
AL032018,GNO+DynGNN,38,7199.5,6819.0,6230.2,7513.1
AL042018,LSTM,20,5750.8,5616.9,5266.2,5095.7
AL042018,Transformer,20,6277.5,6145.2,7245.7,6648.7
AL042018,GNO+DynGNN,20,5617.0,5363.4,4700.3,6209.6
AL052018,LSTM,6,5780.5,5718.0,4782.3,5472.9
AL052018,Transformer,6,5879.4,5830.9,7135.8,6171.7
AL052018,GNO+DynGNN,6,5709.5,5160.2,4932.7,6576.4
AL062018,LSTM,67,5826.7,5615.8,5921.8,5561.1
AL062018,Transformer,67,6819.8,6572.8,7403.4,7409.5
AL062018,GNO+DynGNN,67,5626.8,5723.9,4905.0,6424.4
AL072018,LSTM,13,8931.3,8695.8,8920.1,8482.6
AL072018,Transformer,13,9866.2,9667.5,10489.3,10354.8
AL072018,GNO+DynGNN,13,8659.4,8718.7,7872.6,9398.6
AL082018,LSTM,30,3724.3,3590.3,3665.7,3633.0
AL082018,Transformer,30,4631.7,4358.1,5354.5,5153.0
AL082018,GNO+DynGNN,30,3611.1,3620.5,2975.9,4660.1
AL092018,LSTM,19,4644.6,4410.2,5196.8,4721.9
AL092018,Transformer,19,6036.0,5647.7,6274.5,6705.5
AL092018,GNO+DynGNN,19,4434.8,4837.3,3831.7,5464.8
AL102018,LSTM,27,4663.6,4507.3,3900.6,3666.9
AL102018,Transformer,27,5106.2,4901.2,5946.3,5169.9
AL102018,GNO+DynGNN,27,4584.0,4168.8,3528.0,4808.5
AL122018,LSTM,16,4356.8,4179.6,5182.1,4638.1
AL122018,Transformer,16,5906.8,5516.5,6117.6,6628.3
AL122018,GNO+DynGNN,16,4151.5,4734.0,3720.2,5371.3
AL132018,LSTM,77,5693.1,5469.0,5164.4,4777.7
AL132018,Transformer,77,6313.6,6103.1,7012.2,6402.5
AL132018,GNO+DynGNN,77,5539.5,5291.5,4504.1,5800.0
AL142018,LSTM,26,8232.8,7834.3,7403.1,6511.6
AL142018,Transformer,26,8968.8,8614.9,9117.6,7953.7
AL142018,GNO+DynGNN,26,7984.4,7711.9,6705.1,7396.9
AL152018,LSTM,6,2978.5,2720.4,3304.3,2584.2
AL152018,Transformer,6,4416.0,3896.3,4496.1,4516.5
AL152018,GNO+DynGNN,6,2803.5,3138.7,2009.6,3535.8
AL162018,LSTM,24,6110.1,5934.9,5618.7,5659.6
AL162018,Transformer,24,6652.1,6504.4,7517.5,6946.1
AL162018,GNO+DynGNN,24,5962.8,5728.4,5183.1,6652.2
AL022019,LSTM,13,9433.2,9145.7,9280.8,8706.7
AL022019,Transformer,13,10338.3,10116.5,10828.4,10574.7
AL022019,GNO+DynGNN,13,9147.7,9145.4,8215.7,9607.5
AL042019,LSTM,13,5433.4,5266.1,4719.5,4592.1
AL042019,Transformer,13,5839.9,5674.7,6768.6,6192.8
AL042019,GNO+DynGNN,13,5321.1,4906.8,4242.7,5714.5
AL052019,LSTM,58,7318.5,7001.6,7318.2,6664.4
AL052019,Transformer,58,8400.2,8082.8,8642.7,8508.5
AL052019,GNO+DynGNN,58,7066.6,7177.1,6203.2,7415.4
AL062019,LSTM,2,7595.3,7372.0,7414.9,6715.7
AL062019,Transformer,2,8456.6,8235.4,9110.3,8481.6
AL062019,GNO+DynGNN,2,7353.8,7328.5,6471.4,7755.1
AL082019,LSTM,23,4754.6,4650.2,4571.6,4576.7
